time,x,y
32.3,2.873542107,2.355849044
32.35,2.777163238,2.05360779
32.4,2.603457999,1.730830236
32.45,2.357614533,1.402742162
32.5,2.048731248,1.084159863
32.55,1.689411752,0.788589052
32.6,1.295144921,0.52742082
32.65,0.883505034,0.309274409
32.7,0.473218139,0.139527088
32.75,0.08314929,0.02005944
32.8,-0.268729588,-0.050769366
32.85,-0.566329921,-0.077916355
32.9,-0.79633581,-0.069234175
32.95,-0.948939297,-0.034863441
33,-1.018377584,0.013521934
33.05,-1.003240031,0.063567021
33.1,-0.906526586,0.103130227
33.15,-0.735454243,0.12116148
33.2,-0.50102329,0.108507049
33.25,-0.21736954,0.058588409
33.3,0.0990584,-0.032089445
33.35,0.430447339,-0.163634093
33.4,0.75863631,-0.332687041
33.45,1.066141135,-0.53257694
33.5,1.337125741,-0.7536965
33.55,1.558262736,-0.984080656
33.6,1.719432798,-1.210150655
33.65,1.81422253,-1.41757798
33.7,1.840192986,-1.592214162
33.75,1.798905263,-1.721028024
33.8,1.695704548,-1.792991007
33.85,1.539278809,-1.799854073
33.9,1.341022117,-1.736766072
33.95,1.114244381,-1.602692964
34,0.873278516,-1.400609413
34.05,0.632542004,-1.137448193
34.1,0.405612259,-0.823807717
34.15,0.204373872,-0.473432956
34.2,0.038290895,-0.102499041
34.25,-0.086150902,0.271260853
34.3,-0.165797897,0.629531982
34.35,-0.200957807,0.954440864
34.4,-0.195297764,1.229563358
34.45,-0.155519587,1.44085755
34.5,-0.090834725,1.577465352
34.55,-0.012274064,1.632334511
34.6,0.068121729,1.602623511
34.65,0.138178073,1.489864928
34.7,0.186471126,1.299877348
34.75,0.203163211,1.042431206
34.8,0.180734152,0.730688682
34.85,0.11456023,0.380451492
34.9,0.003302146,0.009261887
34.95,-0.150924499,-0.364589036
35,-0.342608882,-0.723086192
35.05,-0.563132791,-1.049487229
35.1,-0.801270046,-1.329231803
35.15,-1.043867352,-1.550709675
35.2,-1.276664716,-1.705842826
35.25,-1.485204405,-1.790448349
35.3,-1.655771484,-1.804362517
35.35,-1.776306527,-1.751321167
35.4,-1.837232423,-1.63860655
35.45,-1.832142116,-1.47648511
35.5,-1.758302395,-1.277473369
35.55,-1.616939979,-1.055479496
35.6,-1.4132894,-0.824875512
35.65,-1.156396775,-0.599558978
35.7,-0.858688623,-0.392063322
35.75,-0.535329366,-0.21277245
35.8,-0.203404333,-0.069288433
35.85,0.119024049,0.034008913
35.9,0.413931139,0.096184032
35.95,0.664355702,0.119736694
36,0.855374988,0.11036426
36.05,0.974970817,0.076511831
36.1,1.014734602,0.028740416
36.15,0.970368852,-0.021045246
36.2,0.841954882,-0.060458696
36.25,0.633970501,-0.077527404
36.3,0.355056514,-0.061563762
36.35,0.017545956,-0.003954662
36.4,-0.363215746,0.101181915
36.45,-0.769718997,0.256516494
36.5,-1.183255925,0.46123591
36.55,-1.584946327,0.710998181
36.6,-1.956762701,0.99811891
36.65,-2.282493733,1.311978983
36.7,-2.548589718,1.639629233
36.75,-2.744840848,1.966555166
36.8,-2.864849837,2.27755453
36.85,-2.9062731,2.557673145
36.9,-2.870819047,2.793140451
36.95,-2.764006983,2.972245897
37,-2.594704762,3.086100703
37.05,-2.374476767,3.129236328
37.1,-2.116785234,3.100000905
37.15,-1.836096586,3.000727249
37.2,-1.546949885,2.837660062
37.25,-1.263046327,2.620644818
37.3,-0.996416853,2.362595535
37.35,-0.756719539,2.078772362
37.4,-0.550709769,1.785911742
37.45,-0.381914942,1.501261163
37.5,-0.250532199,1.241576517
37.55,-0.153553312,1.022142614
37.6,-0.085106314,0.855876127
37.65,-0.036989617,0.752565375
37.7,0.000637957,0.718293094
